Date,Portfolio_Value
2021-09-20,165516.5066271874
2021-09-21,165597.0750983838
2021-09-22,168653.04685855503
2021-09-23,170933.81554906163
2021-09-24,171008.11315121318
2021-09-27,172113.44096328525
2021-09-28,169055.09647358992
2021-09-29,169519.52523151398
2021-09-30,168460.3962879817
2021-10-01,171029.2888460504
2021-10-04,170341.1914216514
2021-10-05,172174.7030881225
2021-10-06,171796.60803095682
2021-10-07,173747.3981652007
2021-10-08,174481.26938803354
2021-10-11,173484.44489560154
2021-10-12,172052.02867428926
2021-10-13,172027.47652105865
2021-10-14,175071.8143257874
2021-10-15,175069.73306193948
2021-10-18,175073.90495088627
2021-10-19,176710.22837816036
2021-10-20,177299.52664544663
2021-10-21,177194.5560249601
2021-10-22,177432.5504458123
2021-10-25,178901.54264146351
2021-10-26,180303.72430959644
2021-10-27,180355.99597480395
2021-10-28,182733.28737212982
2021-10-29,184253.5519257508
2021-11-01,184617.7589504873
2021-11-02,184896.70877474995
2021-11-03,185330.68286636542
2021-11-04,187673.1137828203
2021-11-05,187464.40464806868
2021-11-08,188877.79810489694
2021-11-09,189430.2117550238
2021-11-10,186289.95476309894
2021-11-11,187291.4245786494
2021-11-12,188449.54170073313
2021-11-15,188418.7973861879
2021-11-16,188307.28293657888
2021-11-17,187034.9376564659
2021-11-18,188453.97439359175
2021-11-19,187029.08130821428
2021-11-22,187130.68029775884
2021-11-23,189515.57633508198
2021-11-24,190185.16834181256
2021-11-26,184291.7240840826
2021-11-29,186556.81084086918
2021-11-30,182092.47685208858
2021-12-01,179974.12706501817
2021-12-02,181424.43046605046
2021-12-03,179868.38741410896
2021-12-06,182084.29432786995
2021-12-07,186689.5402550285
2021-12-08,186849.08239953872
2021-12-09,184981.74699272308
2021-12-10,186478.60102604012
2021-12-13,183597.33859054194
2021-12-14,182370.37361735757
2021-12-15,184805.3365450865
2021-12-16,183087.02578566622
2021-12-17,180208.74960765557
2021-12-20,179750.30201298982
2021-12-21,184199.90894777
2021-12-22,186308.290420656
2021-12-23,187087.9808749615
2021-12-27,190171.5115346677
2021-12-28,189219.85904294375
2021-12-29,189168.88386277916
2021-12-30,188106.18825254854
2021-12-31,187660.23212837355
2022-01-03,189901.91833746977
2022-01-04,191182.91513163308
2022-01-05,189021.22511370986
2022-01-06,190353.12062060254
2022-01-07,190458.0872788285
2022-01-10,190690.9795394672
2022-01-11,193144.66553041287
2022-01-12,194063.86794805469
2022-01-13,192422.84434569842
2022-01-14,195601.5380454852
2022-01-18,192624.3195077528
2022-01-19,191842.6432823476
2022-01-20,189289.9063477199
2022-01-21,184399.13090068882
2022-01-24,184582.61168120572
2022-01-25,184787.05278477317
2022-01-26,183469.58313267553
2022-01-27,183534.5757813632
2022-01-28,185883.60778543
2022-01-31,188935.14933689282
2022-02-01,191704.06829582618
2022-02-02,194134.66951070557
2022-02-03,190703.46849306586
2022-02-04,190932.63284186338
2022-02-07,189767.31116496612
2022-02-08,188547.88043678322
2022-02-09,191815.11978511186
2022-02-10,190321.81582840666
